order_id,customer_id,order_date,ship_date,product,unit_price,quantity,total_amount
1001,C001,2024-01-05,2024-01-08,widget alpha,$12.50,3,$37.50
1002,C002,01/06/2024,01/10/2024,widget beta,$8.00,5,$40.00
1003,C001,2024-01-07,2024-01-09,widget gamma,$15.25,2,$30.50
1004,C003,01/09/2024,01/15/2024,widget alpha,$12.50,1,$12.50
1005,C002,2024-01-11,2024-01-14,widget delta,$20.00,4,$80.00
1006,C004,01/12/2024,01/13/2024,widget beta,$8.00,10,$80.00
1007,C003,2024-01-15,2024-01-20,widget gamma,$15.25,3,$45.75
1008,C005,01/16/2024,01/19/2024,widget alpha,$12.50,6,$75.00
1009,C001,2024-01-18,2024-01-22,widget delta,$20.00,2,$40.00
1010,C004,01/20/2024,01/21/2024,widget beta,$8.00,7,$56.00
1011,C002,2024-01-22,2024-01-27,widget gamma,$15.25,1,$15.25
1012,C005,01/24/2024,01/28/2024,widget alpha,$12.50,4,$50.00
1013,C003,2024-01-26,2024-01-29,widget delta,$20.00,3,$60.00
1014,C001,01/28/2024,02/01/2024,widget beta,$8.00,9,$72.00
1015,C004,2024-01-30,2024-02-03,widget gamma,$15.25,5,$76.25
